order_item_id,order_id,product_id,quantity,price_at_purchase,item_status,rand_val
1,1,167,3,3452.41,Returned,0.008142213344706422
2,1,70,1,2372.78,Returned,0.045927932528711794
3,2,87,2,7499.93,Returned,0.20521305334308468
4,2,26,2,1825.30,Completed,0.888281499862933
5,2,118,2,4610.05,Completed,0.8257683700190562
6,3,156,1,6328.88,Completed,0.463997381240127
7,4,213,1,754.28,Completed,0.8426818268771115
8,4,208,1,1999.41,Completed,0.8214170213988209
9,5,46,1,185.30,Completed,0.5790396570964155
10,6,109,1,5884.28,Completed,0.4309472520192594
11,7,105,2,1031.32,Completed,0.4176173195406956
12,8,162,2,6813.96,Completed,0.7952448723793447
13,9,184,1,2468.80,Cancelled,0.7233724340082821
14,10,218,1,2839.75,Completed,0.2311275836370211
15,11,57,1,1307.40,Completed,0.9855206468939042
16,11,2,1,758.93,Completed,0.23422051429210278
17,12,178,1,5975.38,Returned,0.21454066151244627
18,12,66,1,1167.22,Completed,0.370041795419568
19,13,88,1,1223.96,Completed,0.2065870232941462
20,13,193,1,3235.74,Completed,0.9228097609456719
21,14,5,1,1252.32,Completed,0.9942877655795661
22,14,112,1,7915.57,Returned,0.20300957579445986
23,15,109,1,6216.52,Returned,0.032184612967245854
24,16,182,1,5819.65,Completed,0.5518943681864947
25,16,54,2,2954.63,Completed,0.6629180327643809
26,17,181,1,760.24,Completed,0.6589070899960651
27,17,183,1,2073.31,Completed,0.305781382420828
28,18,74,1,5295.87,Completed,0.5521856728495896
29,19,190,2,6927.35,Cancelled,0.8435842477191093
30,20,81,2,3407.10,Completed,0.5613642507804225
31,20,53,1,1708.96,Completed,0.2760685414784295
32,21,53,1,1849.30,Completed,0.696249985784525
33,21,85,2,393.52,Completed,0.6530443352209817
34,22,56,1,534.25,Completed,0.17647174948497837
35,22,215,1,2189.14,Completed,0.9232257724955918
36,23,55,1,4713.99,Returned,0.08671364475666885
37,24,205,1,3934.50,Completed,0.6638909370302138
38,25,100,1,4992.79,Returned,0.05931378161470758
39,26,56,1,566.14,Completed,0.3048961277165414
40,26,160,1,2667.52,Completed,0.3465393244722293
41,27,102,1,583.42,Completed,0.8180082699451673
42,28,49,1,6714.46,Returned,0.050423407042793376
43,28,10,2,291.97,Completed,0.7980922561121101
44,29,28,1,954.22,Cancelled,0.8391910901658154
45,29,107,2,344.29,Cancelled,0.8016787132263916
46,30,153,1,3397.74,Completed,0.49082032636815714
47,31,216,1,367.95,Returned,0.04906552289525561
48,32,82,1,234.50,Completed,0.7728666661054516
49,33,49,2,6930.22,Completed,0.7171367925751365
50,34,130,1,485.41,Completed,0.2670839952929728
51,35,15,1,4686.07,Returned,0.18400962947309915
52,36,208,1,2153.74,Returned,0.11879619222022239
53,36,66,1,1253.10,Returned,0.04195210341545949
54,36,34,1,3904.91,Completed,0.8533719711502753
55,37,45,1,3958.46,Returned,0.14100357623864299
56,38,114,1,5648.09,Returned,0.14490199847603402
57,39,212,2,1364.25,Cancelled,0.3014992943978862
58,40,59,1,7185.86,Returned,0.07279050729497383
59,41,8,1,2876.56,Completed,0.45945468401485556
60,42,59,2,7629.97,Returned,0.07890192892300145
61,43,26,1,1993.34,Returned,0.016145623304085456
62,44,211,2,600.62,Completed,0.844022360485068
63,45,122,1,1182.88,Completed,0.17167496324672826
64,46,124,1,5112.04,Completed,0.3263077655120825
65,47,159,1,1185.09,Completed,0.11651396855387275
66,47,131,1,4893.92,Completed,0.6036465769667613
67,48,180,1,2165.87,Completed,0.6686910099058329
68,49,34,1,4350.69,Cancelled,0.5325153493625255
69,49,126,1,333.84,Cancelled,0.656503747828774
70,49,98,1,961.47,Cancelled,0.6849727217899382
71,50,62,2,1522.34,Completed,0.45535239619701395
72,50,22,1,679.37,Completed,0.2218438463489002
73,51,77,1,5321.90,Completed,0.7431620738871042
74,52,162,1,6641.36,Returned,0.05027886112246557
